Original name;Short name 
 back-end;Back-end dev
 full-stack;Full-stack dev
 front-end;Front-end dev
 desktop or enterprise applications;Desktop dev
 mobile;Mobile dev
""
""
""
""
 embedded applications or devices;Embedded dev
""
""
 QA or test;Quality Assurance
 data;Data Engineer
""
""
 game or graphics;Game dev
""
""
""
 site reliability;Site Engineer
""
""
""
